epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0706,1.01952,1.53185,1.20647,0.80259,0.77491,0.79671,0.49691,1.16135,1.41043,1.37551,0.000664242,0.000664242,0.000664242
2,30.9069,1.07116,1.15701,1.2311,0.8611,0.81492,0.86489,0.60496,0.99052,0.98167,1.18531,0.00130895,0.00130895,0.00130895
3,44.6318,1.05775,1.02983,1.23313,0.85588,0.75691,0.83006,0.58275,1.0354,0.96078,1.23361,0.00193166,0.00193166,0.00193166
4,58.1488,1.04419,0.93326,1.22471,0.87998,0.81768,0.87232,0.64426,0.96108,0.76465,1.18525,0.001901,0.001901,0.001901
5,71.5811,1.00745,0.88466,1.20122,0.90712,0.78245,0.84882,0.60837,1.0041,0.79668,1.20326,0.001868,0.001868,0.001868
6,85.0113,0.9882,0.81911,1.19102,0.90764,0.78727,0.86277,0.63261,0.93781,0.81105,1.17934,0.001835,0.001835,0.001835
7,98.4614,0.96403,0.77657,1.1833,0.88527,0.83127,0.86975,0.65026,0.8871,0.67795,1.12125,0.001802,0.001802,0.001802
8,111.978,0.94744,0.7638,1.15766,0.88635,0.84024,0.87646,0.63558,0.95378,0.66962,1.17033,0.001769,0.001769,0.001769
9,125.471,0.92249,0.7336,1.15361,0.90371,0.79558,0.87697,0.64231,0.92476,0.67783,1.15779,0.001736,0.001736,0.001736
10,138.386,0.91181,0.71703,1.13888,0.92161,0.83978,0.89781,0.69188,0.88088,0.58101,1.12128,0.001703,0.001703,0.001703
11,151.373,0.91975,0.69676,1.14886,0.91981,0.82387,0.89488,0.65174,0.92512,0.66053,1.15771,0.00167,0.00167,0.00167
12,164.337,0.90064,0.68072,1.13836,0.91291,0.85635,0.90465,0.69303,0.81608,0.55619,1.09831,0.001637,0.001637,0.001637
13,177.27,0.90121,0.6808,1.13907,0.92276,0.87845,0.91529,0.70086,0.82871,0.52223,1.08918,0.001604,0.001604,0.001604
14,190.136,0.87048,0.66749,1.12425,0.88121,0.87017,0.91046,0.71861,0.81284,0.54334,1.08751,0.001571,0.001571,0.001571
15,203.552,0.85693,0.63254,1.11408,0.945,0.87017,0.91949,0.71724,0.82455,0.49855,1.09429,0.001538,0.001538,0.001538
16,216.526,0.85924,0.62054,1.10736,0.9203,0.87569,0.91817,0.70648,0.83695,0.51832,1.10829,0.001505,0.001505,0.001505
17,229.702,0.85408,0.6262,1.11414,0.92992,0.85083,0.90944,0.70063,0.80407,0.52626,1.084,0.001472,0.001472,0.001472
18,242.868,0.84893,0.62084,1.10902,0.88073,0.88122,0.92083,0.71429,0.82859,0.50088,1.09394,0.001439,0.001439,0.001439
19,256.126,0.84323,0.61077,1.10071,0.90057,0.89779,0.92717,0.71673,0.81161,0.49598,1.0908,0.001406,0.001406,0.001406
20,269.255,0.84169,0.59065,1.0975,0.93435,0.86464,0.92486,0.70665,0.83338,0.50226,1.0833,0.001373,0.001373,0.001373
21,282.244,0.82604,0.58193,1.0926,0.92698,0.87668,0.92218,0.7284,0.81229,0.47396,1.07547,0.00134,0.00134,0.00134
22,295.716,0.81972,0.56225,1.08759,0.90751,0.87017,0.93359,0.71105,0.81549,0.49399,1.07942,0.001307,0.001307,0.001307
23,309.269,0.81151,0.55143,1.09055,0.91915,0.89503,0.9405,0.72136,0.80926,0.4616,1.07487,0.001274,0.001274,0.001274
24,322.552,0.81241,0.55977,1.08821,0.92696,0.86188,0.93269,0.7238,0.8247,0.45778,1.07468,0.001241,0.001241,0.001241
25,335.472,0.79786,0.54783,1.07575,0.93365,0.85515,0.92686,0.71822,0.78861,0.47885,1.07769,0.001208,0.001208,0.001208
26,348.406,0.80598,0.56077,1.08479,0.93545,0.87293,0.94305,0.72123,0.81065,0.46918,1.07093,0.001175,0.001175,0.001175
27,361.4,0.80753,0.56281,1.08039,0.90935,0.88676,0.94288,0.73331,0.79692,0.45522,1.07199,0.001142,0.001142,0.001142
28,374.424,0.78753,0.54515,1.07215,0.92171,0.88122,0.93222,0.73158,0.7872,0.44928,1.05752,0.001109,0.001109,0.001109
29,387.464,0.78919,0.53776,1.0706,0.91961,0.8674,0.93788,0.72787,0.7983,0.461,1.06086,0.001076,0.001076,0.001076
30,400.481,0.78515,0.53191,1.07087,0.93627,0.89503,0.93344,0.74085,0.77213,0.44263,1.05726,0.001043,0.001043,0.001043
31,413.552,0.78684,0.53626,1.07386,0.94214,0.8996,0.93972,0.73884,0.81292,0.44912,1.06388,0.00101,0.00101,0.00101
32,426.564,0.76703,0.51823,1.05606,0.94518,0.89503,0.95843,0.73553,0.82209,0.43932,1.07848,0.000977,0.000977,0.000977
33,439.47,0.76546,0.51035,1.06424,0.91098,0.90463,0.94995,0.73825,0.79654,0.45059,1.06745,0.000944,0.000944,0.000944
34,452.328,0.7658,0.49877,1.05443,0.94176,0.89779,0.95209,0.74108,0.80153,0.4309,1.0771,0.000911,0.000911,0.000911
35,465.179,0.74897,0.48934,1.0463,0.93588,0.88711,0.94639,0.74202,0.77525,0.43545,1.05591,0.000878,0.000878,0.000878
36,478.052,0.74786,0.49361,1.05609,0.92365,0.90608,0.95524,0.75562,0.79757,0.41014,1.06738,0.000845,0.000845,0.000845
37,491.057,0.73988,0.4831,1.05127,0.94199,0.89227,0.94768,0.73764,0.7856,0.41455,1.06214,0.000812,0.000812,0.000812
38,504.244,0.73905,0.48165,1.04743,0.91145,0.90331,0.94218,0.75057,0.74968,0.41009,1.0417,0.000779,0.000779,0.000779
39,517.222,0.74654,0.48082,1.04598,0.94422,0.88398,0.95227,0.74177,0.78608,0.40699,1.07482,0.000746,0.000746,0.000746
40,530.253,0.74771,0.48178,1.04521,0.95186,0.87845,0.94511,0.74989,0.75134,0.40413,1.05392,0.000713,0.000713,0.000713
41,543.165,0.74159,0.47263,1.04391,0.94929,0.87916,0.94792,0.74594,0.77545,0.41299,1.0541,0.00068,0.00068,0.00068
42,556.666,0.72232,0.46138,1.04268,0.9195,0.9151,0.95644,0.75915,0.76955,0.4044,1.05322,0.000647,0.000647,0.000647
